Name,Category,Tier,Region,ST,DX,IQ,HT,HP,Will,Per,FP,Basic Speed,Basic Move,Dodge,Parry,DR,SM,Physical Threat,Systemic Threat,Key Skills,Advantages,Disadvantages,Primary Attack,Attack Damage,Secondary Attack,Secondary Damage,Special Abilities,Weakness,Notes,
Saltwater Crocodile,Natural Fauna,Common,Kimberley / Northern waterways,28,9,3,13,28,10,12,13,5.5,3 (land) / 6 (water),8,,5,2,High,None,Survival (Desert)-14 / Tracking-12,Amphibious / Doesn't Breathe (2hr) / Night Vision 5 / Peripheral Vision / Silence 3 (water),Cold-Blooded,Bite,3d+2 cut,Tail Sweep,thr+2 crush,Death Roll — contested ST each round, failure = full bite damage + submersion,Running water / Cold temperatures (<15C),Ambush: Per roll at -2 (dusk) or -4 (night). Death roll in deep water drowns in HT rounds.
Eastern Brown Snake,Natural Fauna,Common,All eastern/northern Australia,2,14,2,12,2,9,12,12,7,7,,,0,-2,High (venom),None,,Cold-Blooded / Vibration Detection 10m / Camouflage (Per -3 to spot),,Bite,1d-4 cut + venom,,,Venom: HT roll at 30min (HT-2 coagulopathy) / 2hr (HT-3 neurotoxin) / 4hr (HT-4 cardiac),Antivenin within 2 hours,Pressure immobilisation bandage adds +2 to all venom HT rolls. Multiple strikes possible.,
Inland Taipan,Natural Fauna,Common (in range),Nullarbor fringe / Pilbara,2,15,2,13,2,9,13,13,7,7,,,0,-2,Lethal,None,,Cold-Blooded / Enhanced Dodge 3 / Vibration Detection 10m / Camouflage (Per -3),,Bite,1d-4 cut + venom,,,Venom: onset 5min (HT: 1d HP) / 30min (HT-2 coagulopathy) / 1hr (HT-3 paralysis) / 2hr (HT-4 respiratory) / 3hr (HT-5 cardiac). Up to 8 bites per encounter.,Taipan-specific antivenin,Most venomous terrestrial snake in world. Each additional bite = separate venom progression.,
King Brown Snake,Natural Fauna,Uncommon,Kimberley / Pilbara / Nullarbor,4,12,2,13,4,10,12,13,6.5,6,,,0,-1,Serious,None,,Cold-Blooded / Flattening display,,Bite,1d-2 cut + venom (up to 4 bites/round),,,Venom: HT-2 at 1hr (myotoxin/coagulant) / HT-3 at 3hr / HT-4 at 5hr (renal) / HT-5 at 6hr (critical),Antivenin,Bites and holds — multiple venom doses. Multiple bites = multiple simultaneous progressions.,
Tiger Snake,Natural Fauna,Common,Melbourne / Snowy Mountains / Southern Australia,3,12,2,12,3,10,12,12,6,6,,,0,-2,Serious,None,,Cold-Blooded / Vibration Detection 8m / Flattening display,,Bite,1d-3 cut + venom,,,Venom: HT-2 at 45min / HT-3 at 1.5hr (neurotoxin) / HT-4 at 3hr (myotoxin) / HT-5 at 5hr (renal),Antivenin,Primary snakebite risk in Victorian scenarios. Present along all Yarra corridor parkland.,
Red-Bellied Black Snake,Natural Fauna,Common,Eastern Australia,3,12,2,11,3,9,11,11,5.75,5,,,0,-2,Moderate,None,,Cold-Blooded / Vibration Detection 8m,,Bite,1d-4 cut + venom,,,Venom: HT-1 at 1hr (myotoxin) / HT-2 at 3hr / HT-3 at 6hr. Rarely fatal in healthy adults.,Antivenin (cross-reactive),Less dangerous than brown/tiger snakes but still requires antivenin. Common near waterways.,
Redback Spider,Natural Fauna,Common,All scenarios (built environments),1,13,2,10,1,9,12,12,5.75,5,,,0,-6,Low,None,,Aggressive / Multiple bite capacity,,Bite,negligible cut + venom,,,Venom (Latrotoxin): HT-1 at 15min (pain/cramps) / HT-2 at 1hr (systemic). Rarely fatal.,Antivenin available,Use to establish Australia is always trying to kill you. Present in all station sheds / infrastructure.,
Funnel-Web Spider,Natural Fauna,Uncommon,Eastern Australia / Melbourne scenarios,1,13,2,12,1,11,12,12,6.25,5,,,0,-6,High,None,,Aggressive (no flight response) / Fangs penetrate fingernails / Multiple bite capacity,,Bite,1d-5 cut + venom (up to 3 bites/round),,,Venom (Atracotoxin): onset immediate / HT-2 at 15min (-2 DX) / HT-3 at 30min / HT-4 at 1hr (pulmonary) / HT-5 at 2hr (cardiac),Antivenin (must reach hospital),Aggressive — will stand ground. Habitat: disturbed soil near bridge footings. Melbourne bridge scenes.,
Blue-Ringed Octopus,Natural Fauna,Uncommon,Coastal rock pools — Cossack / Melbourne coast,1,14,3,11,1,9,14,11,6.25,5,,,0,-5,Lethal,None,,Camouflage (passive / no roll) / Blue ring display (Per +2 when displaying) / Aquatic,,Bite,1d-6 cut + venom (often unfelt — painless),,,Venom (Tetrodotoxin): HT at 10min / HT-2 at 20min (-3 DX) / HT-3 at 30min (respiratory paralysis) / HT-4 at 40min (full paralysis) / HT-5 at 60min (respiratory failure),NO antivenin exists,Treatment: artificial respiration maintained 4-6 hours. No antivenin. Can kill in 30 minutes.,
Stonefish,Natural Fauna,Uncommon,Coastal/reef — Cossack,3,8,2,12,3,9,12,12,5,5 (water),,,2,-2,Serious,None,,Camouflage (perfect — Per -4 to spot) / Aquatic / Venomous dorsal spines,,Spine puncture (stepped on),1d-2 imp + venom,,,Venom (Verrucotoxin): immediate extreme pain / HT at 30min / HT-2 at 1hr / HT-3 at 3hr (cardiac),Antivenin / Hot water immersion (denatures venom),Most venomous fish in world. Looks exactly like a rock. Common in Cossack coastal scenario.,
Wild Boar (Feral Pig),Natural Fauna,Common,Kimberley / Pilbara / High country approaches,16,9,4,13,16,9,11,13,5.5,7,,,2,1,Moderate,None,,Acute Smell +4 / Discrimination Smell / Night Vision 3 / Peripheral Vision,,Tusk slash,1d+1 cut,Charge,thr+3 crush (if 4+ yards),Mob behaviour: 3+ pigs panicking = -2 to all player actions. 6+ in narrow terrain requires DX roll to avoid knockdown.,,,
Dingo,Natural Fauna,Common,All mainland scenarios,10,12,5,12,10,9,15,12,6,8,,,1,0,Low,None,,Acute Hearing +3 / Acute Smell +4 / Night Vision 5 / Peripheral Vision / Pack Tactics (+2 when 3+ coordinate),,Bite,1d cut,,,Pack tactics when 3+ coordinating,,Unusual behaviour near spiritual sites — depart suddenly without gradual retreat. Use as omen indicator.,
Wedge-Tailed Eagle,Natural Fauna,Uncommon,All scenarios,5,14,4,12,5,11,18,12,7,2 (land) / 16 (air),,,1,0,Moderate,None,,Acute Vision +7 / Flight (Winged) / Sharp Claws and Beak,Cannot Fly (land),Talon dive,1d cut (both feet: two attacks at -2),Wing strike,1d-3 crush,Dive attack: +3 damage from height. Two warning passes before striking. Automatic attack within 10m of nest.,,Unusual attentive behaviour near significant sites — perch closer than normal comfort zone.,
Cassowary,Natural Fauna,Uncommon,Tropical north (Far North Queensland extension),20,11,4,13,20,12,13,13,6,8,,,2,1,High,None,,Acute Hearing +2 / Acute Smell +2 / Cannot Fly / Danger Sense / Peripheral Vision / Territorial (auto-attack within 10m of nest),,Kick (dagger claw),2d+2 imp,Charge,thr+3 crush at Move 8,Jump kick: +2 damage / two simultaneous kicks at -1 each. Does not retreat when defending nest.,Running distance / Backing away slowly,Stand tall and back away. Running triggers pursuit at Move 8. Most dangerous bird in world by injury record.,
Goanna (Perentie),Natural Fauna,Common,Kimberley / Nullarbor / All arid regions,12,10,3,12,12,9,12,12,5.5,8,,,2,1,Low,None,,Acute Smell +3 (forked tongue) / Claws / Enhanced Move 1 (sprint) / Teeth / Bacterial Load,,Bite,1d cut + bacterial infection,Tail sweep,thr+2 crush (reflex when cornered),Secondary infection: HT-1 roll within 24hr of bite. Failure = -1 HT/day without antibiotics.,Cold / Being cornered causes panic,Absent from gorge approaches = omen indicator. Present at all campsites due to food scavenging.,
Ghost Bat,Natural Fauna,Uncommon,Kimberley caves / Nullarbor cave systems,1,14,3,11,1,,,,,,,,0,-4,Low (direct) / Moderate (colony),None,,,,Bite,1d-4 cut,,,Colony disturbance (200+): zero visibility / Move halved / communication impossible / Per -4 for direction. 1d+3 minutes to settle.,,Absent from deep Nullarbor chambers = marker of where conditions change.,
